0,1,2
028/028_09.png,028/028_06.png,1
063/063_03.png,063/063_00.png,1
006/006_04.png,006_forg/006_forg_11.png,0
022/022_04.png,022_forg/022_forg_10.png,0
063/063_06.png,063/063_01.png,1
039/039_11.png,039/039_00.png,1
054/054_10.png,054_forg/054_forg_11.png,0
016/016_00.png,016/016_05.png,1
054/054_02.png,054/054_06.png,1
029/029_11.png,029_forg/029_forg_04.png,0
040/040_11.png,040/040_03.png,1
014/014_21.png,014_forg/014_forg_15.png,0
006/006_19.png,006/006_12.png,1
044/044_09.png,044/044_04.png,1
004/004_14.png,004/004_11.png,1
040/040_00.png,040/040_08.png,1
012/012_16.png,012_forg/012_forg_10.png,0
019/019_10.png,019/019_08.png,1
035/035_04.png,035/035_09.png,1
021/021_08.png,021/021_03.png,1
055/055_02.png,055_forg/055_forg_01.png,0
037/037_03.png,037_forg/037_forg_11.png,0
006/006_22.png,006/006_08.png,1
003/003_18.png,003/003_15.png,1
041/041_09.png,041_forg/041_forg_03.png,0
003/003_16.png,003_forg/003_forg_09.png,0
050/050_06.png,050_forg/050_forg_11.png,0
022/022_11.png,022_forg/022_forg_03.png,0
061/061_06.png,061/061_03.png,1
057/057_06.png,057/057_00.png,1
028/028_06.png,028/028_04.png,1
016/016_07.png,016/016_02.png,1
065/065_04.png,065/065_06.png,1
064/064_01.png,064_forg/064_forg_03.png,0
034/034_00.png,034_forg/034_forg_11.png,0
006/006_16.png,006_forg/006_forg_11.png,0
014/014_21.png,014_forg/014_forg_08.png,0
049/049_09.png,049/049_10.png,1
015/015_14.png,015/015_08.png,1
043/043_05.png,043/043_00.png,1
055/055_07.png,055_forg/055_forg_04.png,0
014/014_04.png,014/014_06.png,1
023/023_00.png,023/023_01.png,1
015/015_08.png,015_forg/015_forg_11.png,0
021/021_03.png,021_forg/021_forg_02.png,0
039/039_05.png,039_forg/039_forg_11.png,0
009/009_02.png,009/009_20.png,1
006/006_01.png,006/006_21.png,1
039/039_00.png,039_forg/039_forg_07.png,0
065/065_08.png,065_forg/065_forg_05.png,0
061/061_08.png,061/061_04.png,1
043/043_08.png,043_forg/043_forg_04.png,0
063/063_04.png,063/063_00.png,1
055/055_11.png,055_forg/055_forg_03.png,0
002/002_16.png,002_forg/002_forg_00.png,0
063/063_06.png,063_forg/063_forg_03.png,0
063/063_11.png,063_forg/063_forg_02.png,0
001/001_05.png,001/001_11.png,1
055/055_06.png,055/055_03.png,1
023/023_09.png,023_forg/023_forg_07.png,0
049/049_00.png,049/049_11.png,1
042/042_09.png,042/042_10.png,1
012/012_03.png,012/012_00.png,1
002/002_15.png,002/002_14.png,1
050/050_03.png,050_forg/050_forg_10.png,0
028/028_00.png,028_forg/028_forg_10.png,0
055/055_02.png,055_forg/055_forg_02.png,0
040/040_07.png,040_forg/040_forg_07.png,0
039/039_11.png,039_forg/039_forg_01.png,0
047/047_08.png,047/047_10.png,1
061/061_10.png,061_forg/061_forg_11.png,0
056/056_00.png,056/056_08.png,1
012/012_13.png,012/012_19.png,1
054/054_06.png,054_forg/054_forg_02.png,0
